measurementInterval,datasetCollector,measurementID,verbatimScientificName,acceptedScientificName,continent,country,verbatimLocality,decimallatitude,decimallongitude,massing_summer_max,massing_summer_max_month,massing_fall_max,massing_fall_max_month,massing_winter_min,massing_winter_min_month,massing_summerY2_max,massing_summerY2_max_month,massing_summer.winter_decrease_mean,massing_fall.winter_decrease_mean,massing_summer.winter_decrease_percent,massing_fall.winter_decrease_percent,massing_winter.summerY2_increase_percent,BCH_summer_max,BCH_summer_max_month,BCH_fall_max,BCH_fall_max_month,BCH_winter_min,BCH_winter_min_month,BCH_summerY2_max,BCH_summerY2_max_month,BCH_summer.winter_decrease_mean,BCH_fall.winter_decrease_mean,BCH_summer.winter_decrease_percent,BCH_fall.winter_decrease_percent,BCH_winter.summerY2_increase_percent,measurementNotes,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
seasonal,this study,gebczynski_1965_table1,Sorex araneus,Sorex araneus,Europe,Poland,Bialowieza National Park,52.75,23.8667,7.75,6.5,7.66,10.5,6.72,1.5,11.63,6.5,-1.03,-0.94,-0.132903226,-0.122715405,0.730654762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,laboratory animals presumed to be wild-caught,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
seasonal,this study,gebczynski_1971_table1,Sorex minutus,Sorex minutus,Europe,Poland,Bialowieza National Park,52.75,23.8667,3.2,NA,2.8,NA,2.65,NA,4.95,NA,-0.55,-0.15,-0.171875,-0.053571429,0.867924528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,laboratory animals presumed to be wild-caught; data are averaged by seasons; restricted to values with housing temperatures most representative of wild were extracted,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
seasonal,this study,gebczynski_1977_table1a,Sorex araneus,Sorex araneus,Europe,Poland,Bialowieza National Park,52.75,23.8667,7.1,NA,6.7,NA,5.6,NA,10.4,NA,-1.5,-1.1,-0.211267606,-0.164179104,0.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,laboratory animals presumed to be wild-caught; data are averaged by seasons,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
seasonal,this study,gebczynski_1977_table1b,Sorex minutus,Sorex minutus,Europe,Poland,Bialowieza National Park,52.75,23.8667,2.7,NA,2.8,NA,2.5,NA,4.3,NA,-0.2,-0.3,-0.074074074,-0.107142857,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,laboratory animals presumed to be wild-caught; data are averaged by seasons,6.794999937,7.888000061,26.18162422,782.83642,21.12000084,-9.008000374,30.12800121,16.48133342,-1.920000116,16.48133342,-2.768666814,594,82,29,33.18342684,219,92,219,104
monthly,this study,genoud_1985_fig5,Sorex coronatus,Sorex coronatus,Europe,Switzerland,western Switzerland,46.76313,7.124,8.19738754,6,7.83584658,10,7.097941413,12,9.715805759,5,-1.099446128,-0.737905167,-0.134121526,-0.094170446,0.368820225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,winter_min taken for December in this case,8.922833327,9.209666484,33.07119644,686.7036486,22.27199936,-5.575999737,27.8479991,17.56866646,2.064000105,17.56866646,0.681333383,1041,111,67,17.98670557,321,203,321,213
monthly,this study,gillihan_1992_fig1and4,Sorex vagrans,Sorex vagrans,North America,United States,"Montana, Lolo Creek drainage west of Missoula",46.75504,-114.24367,5.339873395,6,5.07741652,10,4.014681765,1,7.423800695,7,-1.325191629,-1.062734755,-0.24816911,-0.209306199,0.84916293,5.773660095,6,5.35799587,10,4.905994434,2,5.648414853,6,-0.867665661,-0.452001436,-0.150280004,-0.084360169,0.151329242,,5.147833333,12.19566658,36.93418161,781.926341,21.18400002,-11.83599949,33.0199995,8.248666783,0.307333191,15.05333336,-4.037333326,372,48,22,26.2810963,122,73,103,87
monthly,this study,grainger_1978_table2andfig3,Sorex minutus,Sorex minutus,Europe,Ireland,"eastern suburbs of Galway, Merlin Park",53.28032,-8.9912,3.32666667,10,3.32666667,10,2.84375,1,5.0375,5,-0.48291667,-0.48291667,-0.145165332,-0.145165332,0.771428571,4.54791172,10,4.54791172,10,4.045572752,1,4.85534398,7,-0.502338968,-0.502338968,-0.110454863,-0.110454863,0.20016232,,10.19503958,6.213095208,38.43151883,372.4766426,18.40952301,2.242857218,16.16666579,8.384126902,11.26111118,14.94999965,6.000793616,1118,121,65,21.43035225,353,212,248,313
monthly,this study,hamilton_1940_fig1,Sorex fumeus,Sorex fumeus,North America,United States,"New York, Ithaca [possible inclusion of other NY locality in summer months]",42.44062,-76.4966,6.360599232,9,7.0088577,11,5.381761976,1,8.874157586,8,-0.978837256,-1.627095724,-0.153890729,-0.232148489,0.648931637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,8.6254999,10.59633323,28.65422686,961.2590709,25.76000023,-11.22000027,36.9800005,20.26199993,-2.550000032,20.26199993,-3.479333321,920,97,52,19.45196679,272,168,272,170
monthly,this study,hawes_1975_fig16,Sorex vagrans,Sorex vagrans,North America,Canada,Ladner Air Base and Serpentine River,49.077,-123.00763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.356437694,7,5.211976275,10,4.983194979,1,5.055910312,5,-0.373242715,-0.228781296,-0.069681146,-0.043895306,0.014592111,BCH_summer_max restricted to months after April and May,10.32205881,7.862744945,35.4741691,520.1303506,20.92941093,-1.235294104,22.16470504,4.646078418,16.70490201,16.84705877,4.224509801,1203,189,39,50.56650707,517,134,140,447
monthly,this study,hawes_1975_fig3a,Sorex vagrans,Sorex vagrans,North America,Canada,"Vancouver, 35 miles E; Maple Ridge, N of; University of British Columbia Research Forest",49.26381,-122.57718,4.428281722,9,4.486432248,10,3.977103512,1,6.374844094,5,-0.45117821,-0.509328736,-0.101885616,-0.113526452,0.602886139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9.081000023,7.82600003,33.32481606,560.4680691,20.22800064,-3.256000042,23.48400068,2.795333366,15.98333343,15.98333343,2.415333331,2239,354,73,49.45271883,934,249,249,790
